,Vendor,Address,vendor_id
0,GreenSupreme,bc1qcuxc8fl7eqm8a48sv3n6vgqhc0mtzsswdy4h66,135137a5e88e1fa749c1374f51048773
1,SocialPharma,3DdUb8Tt59tvZacikVt6R9pYWYqzGqgxff,1db74355bd33521d281b3e15cc6dbe21
2,SocialPharma,3CC78T4nuX8oojZnUewMmm1hXsHZZDKq2v,1db74355bd33521d281b3e15cc6dbe21
3,SocialPharma,3Bid37x7LE72dXjYajYuStUp34HVK4PqiK,1db74355bd33521d281b3e15cc6dbe21
4,SocialPharma,3D3Tpa6VKQi6mrPX3FnKMG78Y3L31vZYmf,1db74355bd33521d281b3e15cc6dbe21
5,SocialPharma,3NwDyUf29YHMLx3m87hPZPf3h6uGqYBy5e,1db74355bd33521d281b3e15cc6dbe21
6,SocialPharma,3LdcuVxgeqCr3FbnQMgdmEhheNiQbzVhDg,1db74355bd33521d281b3e15cc6dbe21
7,SocialPharma,33TcTCAA7jaZRWvMosJ6ETukcr37hpH6Cf,1db74355bd33521d281b3e15cc6dbe21
8,SocialPharma,38dPTCZjVeBoBCbaX31iiWYj99XJWSWFTy,1db74355bd33521d281b3e15cc6dbe21
9,SocialPharma,3EByaiWuht7dgz5kPmJWoZ94TGXHFkYbcs,1db74355bd33521d281b3e15cc6dbe21
10,SocialPharma,3PvQNE83RLnawGQrmcnttywStLYFnFYbLm,1db74355bd33521d281b3e15cc6dbe21
11,SocialPharma,32dYvZidSzT8EQtF9GT5BTUCCWr6wGgLot,1db74355bd33521d281b3e15cc6dbe21
12,SocialPharma,36M7BcV3DrCxpk9Q8uqxx7mDY81n95fv4f,1db74355bd33521d281b3e15cc6dbe21
13,SocialPharma,3F9a5DbSpurtFYYeAJTttcLURwACRnqRE4,1db74355bd33521d281b3e15cc6dbe21
14,SocialPharma,3DC23QfFfYqC1rJZfZJ9CtfC8bSKqBriZg,1db74355bd33521d281b3e15cc6dbe21
15,SocialPharma,373QvWDKrSbFndFEDsxrjm4avPDzWDb4Gn,1db74355bd33521d281b3e15cc6dbe21
16,SocialPharma,3HUbjyTYehVdnSbg3a4LvDuBYuPARPhAed,1db74355bd33521d281b3e15cc6dbe21
17,SocialPharma,3GpbeAVTrwzy3eaoDzjG6TyXhXSqVppcCQ,1db74355bd33521d281b3e15cc6dbe21
18,SocialPharma,39ZX5QNAjAugQDwMSR9yXwqUhjGuZAa2rL,1db74355bd33521d281b3e15cc6dbe21
19,SocialPharma,3P7JYhhk8KLkA3XV9p4ndfbienpLea46Tf,1db74355bd33521d281b3e15cc6dbe21
20,SocialPharma,3QTs4gFwtFZQdv9WrmYBESpnpWk6ue8w2U,1db74355bd33521d281b3e15cc6dbe21
21,SocialPharma,3LMNLrrvmZLcyHz2wybeyU7AcL2B6LenNy,1db74355bd33521d281b3e15cc6dbe21
22,SocialPharma,3GqE68D3oJ37xQgivpTHP1fn8eBEEPzkCY,1db74355bd33521d281b3e15cc6dbe21
23,SocialPharma,3LD3khMYGjafWZoPfSCJerXu1oQBVroh7e,1db74355bd33521d281b3e15cc6dbe21
